LGA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alpine (S),20,17,22,23,31 ,36 ,38 ,40 ,39,26.6,32.4
Ararat (RC),27,18,21,24,26 ,32 ,35 ,40 ,35,34,38
Ballarat (C),294.5,306.5,345.8,316.6,385 ,380 ,388 ,406 ,428,454.1,488.1
Banyule (C),147.4,144.1,135.4,154.2,167 ,177 ,176 ,175 ,185,186,209
Bass Coast (S),53,53,54,67,63 ,81 ,79 ,76 ,82.8,79.7,101
Baw Baw (S),90,95.9,109.9,119,128 ,135 ,137 ,132 ,140.4,159.8,168
Bayside (C),17,23,26,27,25 ,34 ,26 ,24 ,27,38,33.5
Benalla (RC),33,36,39,48,55 ,75 ,71 ,69 ,67.9,65.2,64
Boroondara (C),17,16,27.2,26.2,32 ,28 ,29 ,31 ,36.5,45.6,48
Brimbank (C),142,145,148,166,159 ,172 ,215 ,187 ,200.6,213,215.6
Buloke (S),11,11,14,14,14 ,19 ,22 ,25 ,21,17,18
Campaspe (S),215,223,221,219,217 ,247 ,273 ,315 ,341.2,384.2,389.6
Cardinia (S),68.8,79,102,111,116 ,123 ,132 ,152 ,171.9,206,221
Casey (C),339.7,328.9,352,394.9,382 ,415 ,432 ,463 ,473,513,525
Central Goldfields (S),29,25,35,31,46 ,48 ,49 ,52 ,68,74,75
Colac-Otway (S),49,39,33.8,35,36 ,34 ,48 ,51 ,65.1,67.1,65
Corangamite (S),19,22,23,25.9,30 ,37 ,48 ,52 ,59,55,58
Darebin (C),348,380,373.5,389,406 ,395 ,432 ,434 ,448.6,458.6,460.5
East Gippsland (S),408.3,382,406,410,446 ,446 ,492 ,487 ,503,531,523
Frankston (C),212,236,258,265,294 ,325 ,343 ,319 ,350.6,376.8,409.6
Gannawarra (S),39,43.4,46.9,50,52 ,52 ,54 ,58 ,76,70.9,65
Glen Eira (C),25.6,36,29,34,41 ,43 ,53 ,45 ,40.2,43.4,38.4
Glenelg (S),102,120,123,142,154 ,148 ,156 ,153 ,149,157,155.9
Golden Plains (S),30,31,23,21,19 ,22 ,24 ,25 ,37,47,47
Greater Bendigo (C),307.1,346,360.4,382,408 ,431 ,447 ,476 ,569.6,622.3,670.8
Greater Dandenong (C),133.4,158.4,169.4,177.8,169 ,159 ,176 ,160 ,162.8,148.1,150.5
Greater Geelong (C),419.8,468.4,469.6,489,507 ,545 ,564 ,616 ,665,734,783.7
Greater Shepparton (C),614.8,634.8,639.6,683.4,679 ,710 ,719 ,721 ,762.9,791.2,788
Hepburn (S),8,7,14,21,27 ,30 ,30 ,31 ,26,31,30
Hindmarsh (S),24,26,23,33,35 ,34 ,29 ,33 ,33,27,31
Hobsons Bay (C),85,87,80,74,89 ,95 ,88 ,100 ,101.2,92.2,108
Horsham (RC),65,83,73,83,97 ,100 ,91 ,113 ,116,122,116
Hume (C),252.4,244.2,266.4,308,343 ,350 ,368 ,386 ,409.9,429.8,434.8
Indigo (S),24,22,26,24,33 ,38 ,35 ,46 ,45.6,52.8,54.4
Kingston (C),69,75,86,90.9,94 ,92 ,82 ,86 ,97.4,107.2,110
Knox (C),100,118,109,125,130 ,146 ,145 ,160 ,152,165,182
Latrobe (C),268,297,328.6,323.2,364 ,394 ,392 ,440 ,460.9,489.6,531.5
Loddon (S),30,26.6,28,31,34 ,37 ,35 ,40 ,28.8,35,35
Macedon Ranges (S),37,43,40,42,43 ,52 ,60 ,78 ,80,89.6,99
Manningham (C),19,20,25,32,29 ,30 ,31 ,33 ,37,37,55
Mansfield (S),11,10,9,10.9,14 ,12 ,15 ,14 ,15,13.7,10
Maribyrnong (C),68,62,73.4,58,67 ,81 ,83 ,73 ,77,91,90
Maroondah (C),88.2,78,72,78,74 ,72 ,99 ,92 ,102.2,118.4,140
Melbourne (C),24,30,42,40.7,46 ,43 ,39 ,46 ,56,56,40
Melton (C),154,170,199,228,241 ,290 ,320 ,320 ,348,384,396.9
Mildura (RC),531.6,597,626.8,673,776 ,814 ,827 ,852 ,861,874,946
Mitchell (S),104.8,106,127,142,157 ,167 ,171 ,186 ,200.9,210,248
Moira (S),86.6,82.9,79.9,86.9,80 ,100 ,101 ,102 ,123.6,143.6,164
Monash (C),67,68.6,75,76,75 ,67 ,83 ,76 ,79.1,86.8,75.4
Moonee Valley (C),63,81,86,92,96 ,106 ,99 ,88 ,84,93,97
Moorabool (S),35,49,48,46,55 ,61 ,82 ,81 ,82,80,117
Moreland (C),105.6,100.8,100.6,97,96 ,103 ,112 ,110 ,115,112,124.2
Mornington Peninsula (S),188.2,232,247,260,259 ,311 ,311 ,323 ,321.6,366,382
Mount Alexander (S),40,40,33,31,35 ,43 ,52 ,50 ,54,47,41.4
Moyne (S),34.4,39,43,46,51 ,45 ,46 ,50 ,46,48,57
Murrindindi (S),32,25,28.8,38.8,45 ,50 ,54 ,56 ,59,59,64.8
Nillumbik (S),16,15.9,18.6,21,21 ,38 ,45 ,56 ,57,61,82
Northern Grampians (S),29,36,36,41.6,56 ,50 ,53 ,55 ,60.9,71,74.8
Port Phillip (C),23,24,29,30,30 ,45 ,56 ,48 ,52,39,37
Pyrenees (S),13,14,14,23,26 ,18 ,22 ,25 ,25,25,29
South Gippsland (S),37,48,60.2,69,62 ,70 ,72 ,67 ,71.9,91.6,103
Southern Grampians (S),42,48,53,60,65 ,79 ,72 ,79 ,68.8,71.6,76
Stonnington (C),14,11,5,12,12 ,14 ,10 ,14 ,21,25,29
Strathbogie (S),18,18,13,18,19 ,17 ,16 ,15 ,17,20,26
Surf Coast (S),16.8,11.9,22,20,34 ,41 ,44 ,28 ,33,36.9,34
Swan Hill (RC),279.8,282.5,265.1,304.9,317 ,321 ,323 ,324 ,331.5,353.4,341
Towong (S),24,21,21,26,27 ,34 ,27 ,29 ,37,26,24
Wangaratta (RC),63.6,58,66.9,68.2,76 ,80 ,95 ,109 ,124.2,135.2,125.2
Warrnambool (C),136.1,149.4,161.5,158,167 ,193 ,192 ,204 ,227,240.6,242
Wellington (S),126.8,131.8,126.9,138.9,149 ,154 ,156 ,171 ,202,217,231.8
West Wimmera (S),12,12,14,11.9,12 ,11 ,11 ,15 ,22,19,18
Whitehorse (C),60,65.4,80,80.6,82 ,77 ,67 ,79 ,79,88,96
Whittlesea (C),195,220,265.3,292,308 ,336 ,346 ,390 ,427,466,513
Wodonga (C),145,197.4,227,264,291 ,319 ,357 ,396 ,390.3,425.2,480.5
Wyndham (C),253,299,339,374,388 ,398 ,404 ,428 ,477.9,518,572
Yarra (C),52.2,49.2,59.6,57,76 ,73 ,72 ,59 ,66,67,68
Yarra Ranges (S),210.4,226.4,232.4,260.4,277 ,306 ,307 ,319 ,311.3,315.6,318.4
Yarriambiack (S),17,23,22,22,30 ,32 ,28 ,29 ,27.8,27,31
