school_type, address_postcode,school_name, postal_address_line_1, school_status, postal_town, address_state, postal_postcode, lga_code, lga_name, address_line_1, postal_state, school_no, address_town, education_sector, full_phone_no, objectid
Primary,3015,Newport Lakes Primary School,Elizabeth Street ,O,NEWPORT,VIC,3015,23110,Hobsons Bay (C),Elizabeth Street ,VIC,113,Newport,Government,03 9391 8942 ,14
Primary,3031,Flemington Primary School,P O Box 7,O,FLEMINGTON,VIC,3031,25060,Moonee Valley (C),Mt Alexander Road,VIC,250,Flemington,Government,03 9376 7137 ,30
Primary,3011,Footscray Primary School ,P O Box 6019 ,O,WEST FOOTSCRAY,VIC,3012,24330,Maribyrnong (C),Cnr Geelong Road & Barkly St,VIC,253,Footscray,Government,03 9687 1910 ,31
Primary,3191,Sandringham Primary School ,29A Bamfield Street,O,SANDRINGHAM,VIC,3191,20910,Bayside (C),29A Bamfield Street,VIC,267,Sandringham,Government,03 9598 1488 ,34
Primary,3065,Fitzroy Primary School,P O Box 150,O,FITZROY,VIC,3065,27350,Yarra (C),319 George Street,VIC,450,Fitzroy,Government,03 9417 4222 ,53
Primary,3040,Essendon Primary School,38 Raleigh Street,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),38 Raleigh Street,VIC,483,Essendon ,Government,03 9370 7816 ,59
Primary,3058,Coburg Primary School,98 Bell Street,O,COBURG ,VIC,3058,25250,Moreland (C) ,98 Bell Street,VIC,484,Coburg ,Government,03 9354 9332 ,60
Primary,3141,South Yarra Primary School ,601 Punt Road,O,SOUTH YARRA,VIC,3141,24600,Melbourne (C),601 Punt Road,VIC,583,South Yarra,Government,03 9866 3424 ,74
Primary,3124,Camberwell Primary School,290 Camberwell Road,O,CAMBERWELL,VIC,3124,21110,Boroondara (C),290 Camberwell Road,VIC,888,Camberwell,Government,03 9882 4663 ,129
Primary,3103,Balwyn Primary School,86B Balwyn Road,O,BALWYN ,VIC,3103,21110,Boroondara (C),86B Balwyn Road,VIC,1026,Balwyn ,Government,03 9836 7121 ,146
Primary,3101,Kew Primary School,Peel Street,O,KEW,VIC,3101,21110,Boroondara (C),Peel Street,VIC,1075,Kew,Government,03 9853 8325 ,157
Primary,3146,Glen Iris Primary School ,170 Glen Iris Road,O,GLEN IRIS,VIC,3146,21110,Boroondara (C),170 Glen Iris Road,VIC,1148,Glen Iris,Government,03 9885 3624 ,183
Primary,3206,Albert Park Primary School ,Bridport Street,O,ALBERT PARK,VIC,3206,25900,Port Phillip (C) ,Bridport Street,VIC,1181,Albert Park,Government,03 9699 9090 ,189
Primary,3016,Williamstown Primary School,Cnr. Electra & Parker Street,O,WILLIAMSTOWN ,VIC,3016,23110,Hobsons Bay (C),Cecil Street ,VIC,1183,Williamstown ,Government,03 9397 1248 ,190
Primary,3054,Carlton North Primary School,60 LEE STREET,O,CARLTON NORTH,VIC,3054,27350,Yarra (C),60 Lee Street,VIC,1252,Carlton North,Government,03 9347 4822 ,201
Primary,3068,Clifton Hill Primary School,P O Box 468,O,CLIFTON HILL ,VIC,3068,27350,Yarra (C),185 Gold St,VIC,1360,Clifton Hill ,Government,03 9489 8333 ,219
Primary,3070,Northcote Primary School ,P O Box 210,O,NORTHCOTE,VIC,3070,21890,Darebin (C),33 Helen Street,VIC,1401,Northcote,Government,03 9481 0009 ,230
