school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Secondary,161,3806,Berwick Secondary College,MANUKA ROAD,O,null,BERWICK,VIC,3806,Casey (C),Manuka Road,null,VIC,7603,145.36418,Berwick,Government,03 8768 1000,-38.03107,1
Primary,421,3113,Warrandyte Primary School,5-11 Forbes Street,O,null,WARRANDYTE,VIC,3113,Manningham (C),5-11 Forbes Street,null,VIC,12,145.21397,Warrandyte,Government,03 9844 3537,-37.74268,1
Primary,161,3806,Berwick Primary School,37 Fairholme Boulevard,O,null,Berwick,VIC,3806,Casey (C),37 Fairholme Boulevard,null,VIC,40,145.35374,Berwick,Government,03 9707 1026,-38.04418,1
Primary,91,3192,Cheltenham Primary School,231 Charman Road,O,null,CHELTENHAM,VIC,3192,Bayside (C),231 Charman Road,null,VIC,84,145.05463,Cheltenham,Government,03 8585 3200,-37.96861,1
Primary,311,3015,Newport Lakes Primary School,Elizabeth Street,O,null,NEWPORT,VIC,3015,Hobsons Bay (C),Elizabeth Street,null,VIC,113,144.87834,Newport,Government,03 9391 8942,-37.83842,1
Primary,571,3761,St Andrews Primary School,Caledonia Street,O,null,ST ANDREWS,VIC,3761,Nillumbik (S),Caledonia Street,null,VIC,128,145.26984,St Andrews,Government,03 9710 1255,-37.60232,1
Primary,534,3936,Dromana Primary School,P O Box 166,O,null,DROMANA,VIC,3936,Mornington Peninsula (S),Mcculloch Street,null,VIC,184,144.95966,Dromana,Government,03 5987 2367,-38.33964,1
Primary,421,3108,Doncaster Primary School,2 - 12 Council Street,O,null,DONCASTER,VIC,3108,Manningham (C),2 - 12 Council Street,null,VIC,197,145.12967,Doncaster,Government,03 9848 1122,-37.7868,1
Primary,571,3095,Eltham Primary School,DALTON STREET,O,null,ELTHAM,VIC,3095,Nillumbik (S),Dalton Street,null,VIC,209,145.1478,Eltham,Government,03 9439 9374,-37.72498,1
Primary,161,3803,Hallam Primary School,24 Harmer Road,O,null,HALLAM,VIC,3803,Casey (C),24 Harmer Road,null,VIC,244,145.25848,Hallam,Government,03 9703 1536,-38.00158,1
Primary,506,3031,Flemington Primary School,P O Box 7,O,null,FLEMINGTON,VIC,3031,Moonee Valley (C),Mt Alexander Road,null,VIC,250,144.9336,Flemington,Government,03 9376 7137,-37.78139,1
Primary,433,3011,Footscray Primary School,P O Box 6019,O,null,WEST FOOTSCRAY,VIC,3012,Maribyrnong (C),Cnr Geelong Road & Barkly St,null,VIC,253,144.89267,Footscray,Government,03 9687 1910,-37.79838,1
Primary,413,3437,Gisborne Primary School,35 FISHER STREET,O,null,GISBORNE,VIC,3437,Macedon Ranges (S),35 Fisher Street,null,VIC,262,144.58844,Gisborne,Government,03 5428 2022,-37.49086,1
Primary,91,3191,Sandringham Primary School,31 Bamfield Street,O,null,SANDRINGHAM,VIC,3191,Bayside (C),31 Bamfield Street,null,VIC,267,145.00931,Sandringham,Government,03 9598 1488,-37.94763,1
Primary,111,3122,Hawthorn West Primary School,Cnr Wood Street & Burwood Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),Cnr Wood Street & Burwood Road,null,VIC,293,145.01839,Hawthorn,Government,03 9818 2233,-37.82011,1
Primary,66,3084,Heidelberg Primary School,P O Box 330,O,null,HEIDELBERG,VIC,3084,Banyule (C),Cape Street,null,VIC,294,145.0678,Heidelberg,Government,03 9457 2259,-37.7547,1
Primary,413,3441,Mount Macedon Primary School,641 Mount Macedon Road,O,null,MOUNT MACEDON,VIC,3441,Macedon Ranges (S),641 Mount Macedon Road,null,VIC,415,144.58414,Mount Macedon,Government,03 5426 1446,-37.40479,1
Primary,465,3337,Melton Primary School,P O Box 512,O,null,MELTON,VIC,3337,Melton (C),Unitt Street,null,VIC,430,144.58647,Melton,Government,03 9743 5335,-37.68108,1
Primary,735,3065,Fitzroy Primary School,P O Box 150,O,null,FITZROY,VIC,3065,Yarra (C),319 George Street,null,VIC,450,144.9815,Fitzroy,Government,03 9417 4222,-37.7996,1
Primary,698,3151,Burwood East Primary School,P O Box 374,O,null,GLEN WAVERLEY,VIC,3150,Whitehorse (C),Cnr Blackburn And Highbury Rds,null,VIC,454,145.1522,Burwood East,Government,03 9802 8618,-37.85978,1
Primary,413,3438,New Gisborne Primary School,239 Station Road,O,null,NEW GISBORNE,VIC,3438,Macedon Ranges (S),239 Station Road,null,VIC,467,144.59657,New Gisborne,Government,03 5428 2232,-37.46289,1
Primary,506,3040,Essendon Primary School,38 Raleigh Street,O,null,ESSENDON,VIC,3040,Moonee Valley (C),38 Raleigh Street,null,VIC,483,144.92104,Essendon,Government,03 9370 7816,-37.7531,1
Primary,525,3058,Coburg Primary School,92 Bell Street,O,null,COBURG,VIC,3058,Moreland (C),92 Bell Street,null,VIC,484,144.96803,Coburg,Government,03 9354 9332,-37.74118,1
Primary,707,3754,Mernda Primary School,P O Box 222,O,null,MERNDA,VIC,3754,Whittlesea (C),25 Everton Drive,null,VIC,488,145.09224,Mernda,Government,03 9717 7900,-37.5946,1
Primary,413,3431,Riddells Creek Primary School,P O Box 255,O,null,RIDDELLS CREEK,VIC,3431,Macedon Ranges (S),69-77 Main Road,null,VIC,528,144.67978,Riddells Creek,Government,03 5428 7277,-37.46122,1
Primary,460,3141,South Yarra Primary School,601 Punt Road,O,null,SOUTH YARRA,VIC,3141,Melbourne (C),601 Punt Road,null,VIC,583,144.98563,South Yarra,Government,03 9866 3424,-37.84135,1
Primary,707,3074,Thomastown Primary School,6 Spring Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),6 Spring Street,null,VIC,631,145.01173,Thomastown,Government,03 9465 2225,-37.68239,1
Primary,726,3030,Werribee Primary School,P O Box 432,O,null,WERRIBEE,VIC,3030,Wyndham (C),2 Deutgam Street,null,VIC,649,144.6591,Werribee,Government,03 9742 6659,-37.9067,1
Primary,485,3756,Wallan Primary School,P O Box 74,O,null,WALLAN,VIC,3756,Mitchell (S),46-48 Queen Street,null,VIC,664,144.97504,Wallan,Government,03 5783 1232,-37.41146,1
Primary,515,3340,Coimadai Primary School,86 Bennetts Lane,O,null,COIMADAI,VIC,3340,Moorabool (S),86 Bennetts Lane,null,VIC,716,144.47832,Coimadai,Government,03 5367 2907,-37.61379,1
Primary,497,3168,Clayton North Primary School,1714 Dandenong Road,O,null,CLAYTON,VIC,3168,Monash (C),1714 Dandenong Road,null,VIC,734,145.12276,Clayton,Government,03 9544 1522,-37.91204,1
Primary,189,3072,Preston South Primary School,P O Box 1527,O,null,PRESTON,VIC,3072,Darebin (C),56B Hotham Street,null,VIC,824,145.00745,Preston,Government,03 9484 1544,-37.74787,1
Primary,343,3195,Mordialloc Beach Primary School,58 Barkly Street,O,null,Mordialloc,VIC,3195,Kingston (C),58 Barkly Street,null,VIC,846,145.0888,Mordialloc,Government,03 9580 1468,-38.00558,1
Primary,745,3777,Healesville Primary School,P O Box 222,O,null,HEALESVILLE,VIC,3777,Yarra Ranges (S),2 View Street,null,VIC,849,145.51604,Healesville,Government,03 5962 4053,-37.65713,1
Primary,275,3223,St Leonards Primary School,1341 Murradoc Road,O,null,ST LEONARDS,VIC,3223,Greater Geelong (C),1341 Murradoc Road,null,VIC,866,144.71503,St Leonards,Government,03 5257 1460,-38.17196,1
