school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Primary,421,3113,Warrandyte Primary School,5-11 Forbes Street,O,null,WARRANDYTE,VIC,3113,Manningham (C),5-11 Forbes Street,5,null,12,VIC,Warrandyte,Government,03 9844 3537,1,-37.742675,145.21398
Primary,161,3806,Berwick Primary School,37 Fairholme Boulevard,O,null,Berwick,VIC,3806,Casey (C),37 Fairholme Boulevard,10,null,40,VIC,Berwick,Government,03 9707 1026,1,-38.044178,145.353743
Primary,91,3192,Cheltenham Primary School,231 Charman Road,O,null,CHELTENHAM,VIC,3192,Bayside (C),231 Charman Road,12,null,84,VIC,Cheltenham,Government,03 8585 3200,1,-37.968608,145.054635
Primary,311,3015,Newport Lakes Primary School,Elizabeth Street,O,null,NEWPORT,VIC,3015,Hobsons Bay (C),Elizabeth Street,14,null,113,VIC,Newport,Government,03 9391 8942,1,-37.838424,144.878345
Primary,571,3761,St Andrews Primary School,Caledonia Street,O,null,ST ANDREWS,VIC,3761,Nillumbik (S),Caledonia Street,21,null,128,VIC,St Andrews,Government,03 9710 1255,1,-37.602316,145.269827
Primary,534,3936,Dromana Primary School,P O Box 166,O,null,DROMANA,VIC,3936,Mornington Peninsula (S),Mcculloch Street,23,null,184,VIC,Dromana,Government,03 5987 2367,1,-38.339644,144.959653
Primary,421,3108,Doncaster Primary School,2 - 12 Council Street,O,null,DONCASTER,VIC,3108,Manningham (C),2 - 12 Council Street,24,null,197,VIC,Doncaster,Government,03 9848 1122,1,-37.786804,145.129673
Primary,571,3095,Eltham Primary School,DALTON STREET,O,null,ELTHAM,VIC,3095,Nillumbik (S),Dalton Street,26,null,209,VIC,Eltham,Government,03 9439 9374,1,-37.72498353,145.1478042
Primary,161,3803,Hallam Primary School,24 Harmer Road,O,null,HALLAM,VIC,3803,Casey (C),24 Harmer Road,29,null,244,VIC,Hallam,Government,03 9703 1536,1,-38.001575,145.258493
Primary,506,3031,Flemington Primary School,P O Box 7,O,null,FLEMINGTON,VIC,3031,Moonee Valley (C),Mt Alexander Road,30,null,250,VIC,Flemington,Government,03 9376 7137,1,-37.781393,144.933597
Primary,433,3011,Footscray Primary School,P O Box 6019,O,null,WEST FOOTSCRAY,VIC,3012,Maribyrnong (C),Cnr Geelong Road & Barkly St,31,null,253,VIC,Footscray,Government,03 9687 1910,1,-37.798383,144.892669
Primary,413,3437,Gisborne Primary School,35 FISHER STREET,O,null,GISBORNE,VIC,3437,Macedon Ranges (S),35 Fisher Street,32,null,262,VIC,Gisborne,Government,03 5428 2022,1,-37.4908591,144.5884416
Primary,91,3191,Sandringham Primary School,31 Bamfield Street,O,null,SANDRINGHAM,VIC,3191,Bayside (C),31 Bamfield Street,34,null,267,VIC,Sandringham,Government,03 9598 1488,1,-37.947631,145.009306
Primary,111,3122,Hawthorn West Primary School,Cnr Wood Street & Burwood Road,O,null,HAWTHORN,VIC,3122,Boroondara (C),Cnr Wood Street & Burwood Road,37,null,293,VIC,Hawthorn,Government,03 9818 2233,1,-37.820112,145.018377
Primary,66,3084,Heidelberg Primary School,P O Box 330,O,null,HEIDELBERG,VIC,3084,Banyule (C),Cape Street,38,null,294,VIC,Heidelberg,Government,03 9457 2259,1,-37.754705,145.067799
