date,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,month,year
15-Feb,1868 ,365 ,179.25,307.66,312,558.96,151.02,89.5,0,89.5,2.7,February,2015
16-May,2418 ,327 ,200.66,433.06,209,702.07,199.68,19.74,40.92,60.66,3.08,May,2016
15-Jan,1958 ,329 ,147.72,345.68,501,642.18,132.66,85.52,0,85.52,3.52,January,2015
16-Feb,2202 ,281 ,151.18,293,173,708.31,196.96,41.72,19.12,60.84,5.56,February,2016
14-Aug,1837 ,433 ,129.22,343.28,165,540.51,142.13,73.42,0,73.42,3.02,August,2014
17-Nov,2620 ,279 ,147.74,346.88,510,812.76,175.2,99.72,21.78,121.5,13.7,November,2017
14-Jun,2094 ,372 ,137.66,469.77,204,526.92,148.23,74.64,0,74.64,4,June,2014
16-Sep,2071 ,319 ,132.68,271.5,251,625.22,210.16,41.74,19.34,61.08,4.38,September,2016
14-Mar,1838 ,386 ,117.88,359.7,202,525.8,168.98,87.86,0,87.86,4.2,March,2014
15-Oct,1941 ,334 ,168.94,358.26,123,673,196.32,38.3,17.02,55.32,4.88,October,2015
16-Jun,2090 ,294 ,198.94,417.2,362,668.04,201.04,25.8,37.5,63.3,3.32,June,2016
15-Nov,2140 ,332 ,179.66,381.94,384,698.2,199.5,128.56,25.56,154.12,9.88,November,2015
14-Nov,1877 ,349 ,146.54,329.54,220,555.24,168.98,120.28,0,120.28,7.2,November,2014
16-Dec,2195 ,382 ,153.33,327.8,274,753.95,235.5,50.84,17.2,68.04,5.56,December,2016
15-Jul,1928 ,383 ,147.37,297.56,282,619.4,209.64,73.36,12.84,86.2,3.48,July,2015
17-Feb,2067 ,357 ,152.68,264.5,388,683.34,175.88,49.78,27.16,76.94,9.38,February,2017
17-Jun,2173 ,273 ,175.16,382.44,274,721.26,206.6,54.01,12.54,66.55,8.78,June,2017
15-Apr,1941 ,347 ,200.12,461.9,321,613.58,171.3,80.96,0,80.96,3.04,April,2015
15-May,1823 ,344 ,228.42,541.78,256,553.24,200.78,89.12,0,89.12,4.34,May,2015
16-Mar,2450 ,329 ,169.74,301.46,328,749.2,201.34,41.84,17.74,59.58,1.68,March,2016
14-May,1912 ,383 ,180.99,669.93,216,531.46,168.22,68.84,0,68.84,4,May,2014
17-Mar,2333 ,379 ,166.74,333.27,363,822.67,237.72,73.5,22.4,95.9,5.82,March,2017
16-Nov,2164 ,385 ,175.84,284.18,341,753.24,223.64,143.98,26.24,170.22,11.38,November,2016
17-Jul,2209 ,311 ,146.46,262.3,400,714.26,219.2,44.32,12.96,57.28,5.06,July,2017
15-Sep,2028 ,296 ,143.37,281.9,387,611.64,208.36,34.14,21.98,56.12,5.54,September,2015
17-Oct,2508 ,273 ,140.28,329.02,260,787.96,197.64,64.36,15.02,79.38,9.62,October,2017
16-Jan,1987 ,296 ,170.68,296.44,357,715,176.38,33.3,17.36,50.66,3.6,January,2016
17-Jan,2197 ,358 ,130.42,309.97,396,759.02,212.24,39.04,34.66,73.7,5.92,January,2017
17-Apr,2037 ,365 ,107.44,317.96,315,701.48,196.04,58,14.26,72.26,10.58,April,2017
17-Dec,2473 ,266 ,157.22,332.04,400,877.48,176.26,78.46,13.76,92.22,18.28,December,2017
16-Oct,2118 ,352 ,160.28,402.28,251,655.44,205.06,43.46,20.94,64.4,10.72,October,2016
17-Sep,2554 ,234 ,128.46,251.68,433,718.06,193.78,65.64,15.2,80.84,4.38,September,2017
16-Jul,1994 ,299 ,155.34,282.88,251,642.76,228.58,27.42,36.9,64.32,3.94,July,2016
14-Jul,1956 ,467 ,144.28,380.88,285,547.94,149.28,68.16,0,68.16,3.74,July,2014
14-Dec,2163 ,384 ,142.72,374.36,287,677.48,200.42,77.46,0,77.46,3.7,December,2014
15-Mar,2020 ,417 ,190.92,404.22,301,617.52,167.46,87.9,0,87.9,3.82,March,2015
17-Aug,2354 ,269 ,133.84,220.26,365,752.82,217.28,47.24,14.56,61.8,6.36,August,2017
16-Apr,2051 ,303 ,172.09,336.86,256,672.57,189,23.06,28.68,51.74,5.28,April,2016
15-Aug,1953 ,324 ,246.5,243.12,362,582.36,173.4,75.6,15.18,90.78,2.84,August,2015
16-Aug,2245 ,315 ,148.72,249.12,285,662.92,213.28,48.1,20.76,68.86,3.3,August,2016
14-Feb,1786 ,391 ,122.72,380.1,193,549.18,135.66,65.72,0,65.72,3.34,February,2014
14-Sep,1989 ,447 ,144.1,369.6,176,570.88,174.96,64.08,0,64.08,3.98,September,2014
14-Jan,1868 ,421 ,156.52,407.08,176,601.94,168.4,52,0,52,3.22,January,2014
14-Apr,1880 ,456 ,120.38,367.58,167,558.38,173.68,42.46,0,42.46,4,April,2014
15-Jun,1896 ,350 ,180.28,359.02,227,612.54,196.7,86.24,11.02,97.26,4.94,June,2015
14-Oct,1955 ,403 ,129.06,411.72,171,608.62,162.72,51.5,0,51.5,6.98,October,2014
15-Dec,2207 ,337 ,190.21,367.18,253,763.89,228.34,40.1,17.08,57.18,2.74,December,2015
17-May,2330 ,362 ,217.9,440.26,372,782.42,223.16,40.3,14.52,54.82,8.96,May,2017
