,keywords
0,atmosphere
1,biodegradable
2,biodiversity
3,carbon
4,dioxide
5,carcinogen
6,climate
7,coal
8,compost
9,conservation
10,contaminant
11,deforestation
12,deforest
13,disposable
14,diversity
15,ecology
16,ecosystem
17,emission
18,endangered
19,energy
20,environment
21,erosion
22,extinct
23,fossil
24,geothermal
25,fuel
26,landfill
27,recycle
28,sewerage
29,air
30,temp
31,waste
32,eco
33,environs
34,relict
35,hotbed
36,green
37,habitat
38,ambiance
39,aciduric
40,site
41,effect
42,community
43,produce
44,consume
45,decompose
46,adapt
47,habitat
48,weather
49,impact
50,global
51,change
52,precipitation
53,gas
54,ems
55,pollution
56,green
